YearsExperience,Education,JobRole,Location,SkillsScore(1-5),CompanySize,Salary(LPA)
6,Bachelors,Data Scientist,Bangalore,2,Mid,33.86
19,Bachelors,ML Engineer,Hyderabad,4,Mid,66.48
14,PhD,BI Analyst,Delhi,1,Enterprise,47.39
10,Bachelors,BI Analyst,Bangalore,3,Enterprise,43.24
7,Bachelors,Data Scientist,Mumbai,4,Enterprise,45.9
20,Masters,Data Scientist,Mumbai,4,Mid,76.92
6,PhD,Data Analyst,Hyderabad,3,Startup,34.32
18,Masters,BI Analyst,Bangalore,1,Mid,51.52
10,Bachelors,Data Analyst,Pune,2,Enterprise,33.9
10,Masters,BI Analyst,Bangalore,4,Startup,48.92
20,Bachelors,Data Analyst,Mumbai,3,Mid,63.06
3,Masters,Data Scientist,Hyderabad,1,Enterprise,11.57
7,PhD,ML Engineer,Hyderabad,5,Mid,50.77
2,Masters,Data Scientist,Pune,2,Startup,21.47
20,PhD,Data Analyst,Hyderabad,3,Enterprise,66.41
1,Bachelors,Data Analyst,Hyderabad,3,Mid,15.26
11,Masters,ML Engineer,Hyderabad,3,Startup,58.05
5,Masters,BI Analyst,Hyderabad,4,Startup,35.97
1,Bachelors,Data Analyst,Hyderabad,5,Mid,26.74
20,PhD,Data Analyst,Mumbai,2,Startup,68
0,Bachelors,Data Analyst,Bangalore,1,Enterprise,10.94
11,Masters,ML Engineer,Delhi,1,Startup,49.62
11,Masters,Data Scientist,Hyderabad,5,Mid,63.02
16,Masters,Data Analyst,Delhi,3,Enterprise,59.2
9,Bachelors,ML Engineer,Delhi,3,Startup,39.5
15,Masters,Data Analyst,Mumbai,3,Startup,52.49
14,Masters,BI Analyst,Hyderabad,3,Enterprise,51.89
14,PhD,ML Engineer,Delhi,3,Enterprise,63.62
18,Bachelors,Data Analyst,Hyderabad,5,Startup,68.98
11,Bachelors,ML Engineer,Pune,4,Enterprise,48.98
19,Masters,Data Analyst,Pune,2,Mid,55.64
2,Bachelors,Data Scientist,Pune,3,Startup,25.08
4,Masters,Data Analyst,Delhi,4,Mid,33.96
18,Masters,ML Engineer,Pune,1,Startup,59.07
6,PhD,BI Analyst,Mumbai,5,Mid,47.35
20,Masters,BI Analyst,Mumbai,4,Mid,75.74
8,Masters,BI Analyst,Delhi,3,Enterprise,39.63
6,Bachelors,Data Analyst,Hyderabad,3,Startup,28.08
17,Bachelors,Data Scientist,Bangalore,3,Enterprise,66.05
3,Bachelors,Data Analyst,Hyderabad,4,Enterprise,27.67
13,Bachelors,BI Analyst,Hyderabad,3,Startup,47.85
17,Masters,ML Engineer,Hyderabad,4,Mid,68.84
8,Masters,BI Analyst,Hyderabad,3,Startup,35.48
20,Masters,ML Engineer,Bangalore,1,Startup,61.52
1,Masters,Data Scientist,Pune,1,Startup,12.26
19,PhD,ML Engineer,Hyderabad,2,Enterprise,60.57
14,Masters,Data Analyst,Mumbai,3,Startup,52.63
6,Masters,Data Analyst,Delhi,3,Startup,37.21
11,Masters,Data Analyst,Delhi,4,Startup,47.45
7,Bachelors,ML Engineer,Mumbai,4,Mid,51.48
14,Bachelors,Data Analyst,Hyderabad,3,Mid,54.26
2,Bachelors,Data Analyst,Bangalore,2,Mid,16.75
13,PhD,Data Analyst,Pune,3,Mid,50.37
16,Masters,Data Scientist,Delhi,4,Enterprise,60.61
3,Bachelors,ML Engineer,Pune,3,Enterprise,29.36
17,Bachelors,ML Engineer,Bangalore,4,Startup,68
7,Masters,BI Analyst,Delhi,3,Enterprise,35.69
3,Bachelors,ML Engineer,Pune,5,Mid,41.91
1,Bachelors,Data Scientist,Bangalore,4,Startup,30.89
5,PhD,ML Engineer,Pune,2,Startup,37.42
9,Bachelors,Data Scientist,Hyderabad,5,Mid,51.68
3,Bachelors,Data Scientist,Bangalore,3,Mid,25.75
17,Masters,ML Engineer,Pune,4,Mid,70.79
11,PhD,BI Analyst,Hyderabad,5,Enterprise,59.13
1,Masters,Data Analyst,Hyderabad,2,Startup,16.45
9,Bachelors,Data Analyst,Bangalore,4,Mid,44.58
3,Bachelors,ML Engineer,Mumbai,5,Startup,35.53
13,Bachelors,ML Engineer,Delhi,5,Startup,60.5
15,Masters,Data Scientist,Bangalore,5,Enterprise,64.36
14,Masters,ML Engineer,Hyderabad,1,Startup,48.09
7,Bachelors,Data Scientist,Hyderabad,3,Mid,35.44
13,PhD,BI Analyst,Bangalore,4,Mid,61.29
7,Bachelors,ML Engineer,Mumbai,4,Startup,43.92
20,Bachelors,Data Analyst,Delhi,4,Startup,65.15
15,Bachelors,Data Analyst,Pune,5,Enterprise,57.29
12,Bachelors,ML Engineer,Bangalore,3,Mid,50.05
17,Masters,Data Scientist,Delhi,2,Mid,61.3
14,Masters,Data Analyst,Delhi,4,Startup,61.81
20,Bachelors,Data Scientist,Hyderabad,3,Startup,62.73
12,Masters,ML Engineer,Pune,3,Startup,55.42
8,Bachelors,ML Engineer,Bangalore,1,Mid,31.49
14,Masters,Data Analyst,Hyderabad,4,Startup,56.63
12,PhD,ML Engineer,Hyderabad,5,Enterprise,63.11
0,Bachelors,BI Analyst,Mumbai,3,Enterprise,15.84
6,Masters,BI Analyst,Delhi,3,Startup,30.57
